
Rnk	Athlete	POS	RookieYr
373	Dunga Bledorn	MF	1980
374	Vava Pereira	FW	1949
375	Socrates	MF	1974
376	Johnny Rep	MF	1971
377	Leonidas	FW	1930
378	Tostao	FW	1962
379	Jozef Mlynarczyk	GK	1971
380	Oldrich Nejedly	FW	1924
381	Mario Mandzukic	FW	2004
382	Fernando Morientes	FW	1993
383	Jon Dahl Tomasson	FW	1992
384	Valentin Ivanov	MF	1952
385	Carlos Valderrama	MF	1981
386	Packie Bonner	GK	1978
387	Carlos Tevez	FW	2001
388	Junichi Inamoto	MF	1997
389	Andreas Kopke	GK	1979
390	Wlodzimierz Smolarek	FW	1976
391	Marco Tardelli	MF	1972
392	Martin Peters	MF	1959
393	Dirceu Guimaraes	MF	1970
394	Roque Maspoli	GK	1933
395	Rui Patricio	GK	2006
396	Joe Cole	MF	1998
397	Edison Mendez	MF	1997
398	Hidetoshi Nakata	MF	1995
399	Georges Grun	DF	1982
400	Jurgen Grabowski	FW	1965
401	Charles Antenen	FW	1944
402	Sang-Chul Yoo	MF	1994
403	Mario Zagallo	FW	1951
404	Obdulio Varela	MF	1936
405	Sergio Busquets	MF	2007
406	Zito	MF	1950
407	Claudio Reyna	MF	1994
408	Hans Schafer	FW	1948
409	Olivier Giroud	FW	2005
410	Landon Donovan	MF	1999
411	Keylor Navas	GK	2005
412	Nery Pumpido	GK	1976
413	Woon-Jae Lee	GK	1996
414	Andre Ayew	MF	2007
415	Diego Benaglio	GK	2002
416	Mile Jedinak	MF	2001
417	Jung-Hwan Ahn	MF	1998
418	Tim Howard	GK	1997
419	Thomas N'Kono	GK	1974
420	Vincent Enyeama	GK	1999
421	Brian McBride	FW	1994
422	Seigo Narazaki	GK	1995
423	Young-Gwon Kim	DF	2010
424	Jan Vertonghen	DF	2006
425	Shinji Okazaki	FW	2005
426	Sami Khedira	MF	2004
427	Blerim Dzemaili	MF	2003
428	Fred Chaves	FW	2003
429	Sulley Muntari	MF	2002
430	Ivica Olic	FW	1996
431	Stipe Pletikosa	GK	1996
432	Faryd Mondragon	GK	1990
433	Francois Omam-Biyik	FW	1986
434	Alberto Garcia Aspe	MF	1984
435	Luis Cubilla	FW	1958
436	Oscar Perez	GK	1993
437	Vladimir Stojkovic	GK	2001
438	Yoshikatsu Kawaguchi	GK	1994
439	Mohamed Al-Deayea	GK	1989
440	Jim Leighton	GK	1977
441	Pedro Rocha (1942)	MF	1960
442	Dobromir Zhechev	DF	1958
443	Carlos Castilho	GK	1945
444	Pepe Reina	GK	1999
445	Eric Cantona	FW	1983
446	Erling Haaland	FW	2016
447	Juninho	MF	1993
448	Liam Brady	MF	1973
449	Paul Gascoigne	MF	1985
450	Virgil van Dijk	DF	2011
451	Jimmy Johnstone	FW	1962
452	Lautaro Martinez	FW	2015
453	N'Golo Kante	MF	2012
454	Juan Roman Riquelme	MF	1996
455	Stefan Effenberg	MF	1987
456	Didier Deschamps	MF	1985
457	Mark Hateley	FW	1978
458	Morten Olsen	MF	1970
459	Zdenek Nehoda	FW	1969
460	Trevor Brooking	MF	1966
461	Billy Bremner	MF	1960
462	Janos Gorocs	MF	1957
463	Salvatore Schillaci	FW	1982
464	Koke	MF	2008
465	Nemanja Vidic	DF	2000
466	Lucio	DF	1997
467	Martin Dahlin	FW	1987
468	Agne Simonsson	FW	1953
469	Glenn Hoddle	MF	1975
470	Bukayo Saka	DF	2018
471	Julian Alvarez	FW	2018
472	Emiliano Martinez	GK	2012
473	Jesper Olsen	MF	1977
474	Milan Galic	FW	1958
475	Jose Augusto	MF	1955
476	Adriano	FW	2000
477	Klaus Allofs	FW	1975
478	Dieter Muller	FW	1972
479	Trevor Francis	FW	1971
480	Antonin Panenka	MF	1967
481	Jurgen Croy	GK	1965
482	Isco	MF	2009
483	Roberto Firmino	FW	2009
484	Philippe Coutinho	FW	2008
485	Edin Dzeko	FW	2003
486	Maniche	MF	1995
487	Hasan Sas	MF	1993
488	Gaizka Mendieta	MF	1992
489	Luis Fernandez	MF	1978
490	Horst Hrubesch	FW	1971
491	Uli Hoeness	FW	1970
492	Juan Manuel Asensi	MF	1966
493	Branko Oblak	MF	1965
494	Angelo Domenghini	FW	1960
495	Josip Skoblar	FW	1958
496	Ernst Ocwirk	MF	1942
497	Josko Gvardiol	DF	2019
498	Trent Alexander-Arnold	DF	2016
499	Paulo Dybala	FW	2011
500	Arturo Vidal	MF	2005
501	Leonardo Bonucci	DF	2005
502	Antonio Rudiger	DF	2000
503	Eric Abidal	DF	1999
504	Djibril Cisse	FW	1998
505	Pablo Aimar	MF	1996
506	Emerson (1976)	MF	1994
507	Gregory Coupet	GK	1993
508	Sylvain Wiltord	FW	1991
509	Francesco Toldo	GK	1990
510	Roy Keane	MF	1989
511	Alen Boksic	FW	1987
512	Oleh Kuznetsov	DF	1981
513	Guido Buchwald	DF	1979
514	Chris Waddle	FW	1978
515	Hans-Peter Briegel	DF	1975
516	Andras Torocsik	FW	1974
517	Gerard Janvion	DF	1972
518	Herbert Prohaska	MF	1972
519	Manfred Kaltz	DF	1971
520	Gordon McQueen	DF	1970
521	Murtaz Khurtsilava	DF	1961
522	Luis del Sol	MF	1953
523	Harry Gregg	GK	1952
524	Jack Charlton	DF	1952
525	Gunnar Gren	FW	1937
526	Ricardo Carvalho	DF	1997
527	Frank de Boer	DF	1988
528	Jose Santamaria	DF	1948
529	Enzo Francescoli	MF	1980
530	Yassine Bounou	GK	2010
531	Diego Costa	FW	2006
532	Leonel Sanchez	FW	1953
533	Nandor Hidegkuti	MF	1942
534	Bruno Fernandes	MF	2012
535	Mario Gotze	MF	2009
536	Alexis Sanchez	FW	2005
537	Dino Baggio	MF	1989
538	Emmanuel Petit	MF	1988
539	Philippe Albert	DF	1986
540	Didier Six	MF	1972
541	Arie Haan	MF	1969
542	Klaus Fischer	FW	1968
543	Heinz Flohe	MF	1966
544	Fritz Walter	MF	1937
545	Casemiro	MF	2010
546	Kalidou Koulibaly	DF	2009
547	David de Gea	GK	2008
548	Ilkay Gundogan	MF	2008
549	Ki-Hyeon Seol	MF	2000
550	Shunsuke Nakamura	MF	1997
551	Harry Kewell	MF	1996
552	Ebbe Sand	FW	1992
553	Bernd Schneider	MF	1991
554	Finidi George	MF	1989
555	Victor Ikpeba	FW	1989
556	Andreas Herzog	MF	1986
557	Emil Kostadinov	FW	1985
558	Karl-Heinz Riedle	FW	1983
559	Norman Whiteside	MF	1982
560	Toni Polster	FW	1982
561	Peter Beardsley	FW	1979
562	Thomas Ravelli	GK	1978
563	Steve Archibald	FW	1974
564	Francesco Graziani	FW	1970
565	Willy van de Kerkhof	MF	1970
566	Jerzy Gorgon	DF	1967
567	Sigfried Held	MF	1963
568	Joaquin Peiro	MF	1954
569	Milos Milutinovic	MF	1952
570	Georgi Naydenov	GK	1949
571	Karl Koller	MF	1949
572	Giampiero Boniperti	FW	1946
573	Lennart Skoglund	MF	1946
574	Dominik Livakovic	GK	2012
575	Sergio Goycochea	GK	1979
576	Simon Kjaer	DF	2007
577	Cesar Azpilicueta	DF	2006
578	Kolo Toure	DF	1999
579	Hatem Trabelsi	DF	1997
580	Jurgen Kohler	DF	1983
581	Olaf Thon	MF	1983
582	Gaetano Scirea	DF	1972
583	Svatopluk Pluskal	DF	1947
584	Ze Roberto da Silva	DF	1994
585	Leo Junior	DF	1974
586	Alberto Tarantini	DF	1973
587	Frantisek Planicka	GK	1919
588	Nicolas Otamendi	DF	2007
589	Carlos Gamarra	DF	1991
590	Elias Figueroa	DF	1964
591	Hilderaldo Bellini	DF	1952
592	Oscar Miguez	FW	1948
593	Careca	FW	1978
594	Jan Jongbloed	GK	1959
595	Sergio Romero	GK	2006
596	Enner Valencia	FW	2010
597	Carlos Gallo	GK	1975
598	Jordan Pickford	GK	2011
599	Eduardo Reis	GK	2001
600	Rene Houseman	MF	1971
601	Andre Abegglen	FW	1926
602	Ahmed Musa	MF	2008
603	David Ospina	GK	2005
604	Daniel Bertoni	MF	1971
605	Maxi Rodriguez	MF	1999
606	Justo Villar	GK	1996
607	Aleksandar Mitrovic	FW	2011
608	Memphis Depay	FW	2011
609	Salem Al-Dawsari	MF	2011
610	Andrej Kramaric	FW	2009
611	Wahbi Khazri	MF	2009
612	Kasper Schmeichel	GK	2006
613	Claudio Bravo	GK	2002
614	Nelson Cuevas	FW	1997
615	Paulo Wanchope	FW	1993
616	Ronald Gomez	FW	1992
617	Agustin Delgado	FW	1991
618	Bodo Illgner	GK	1986
619	Peter Rufai	GK	1980
620	Jorge Burruchaga	MF	1979
621	Bernard Genghini	MF	1976
622	Fernando Alvez	GK	1976
623	Andoni Goikoetxea	DF	1973
624	Friedrich Koncilia	GK	1965
625	Anzor Kavazashvili	GK	1957
626	Antonio Roma	GK	1955
627	Baltazar	FW	1943
628	Jacques Fatton	FW	1943
629	Jean Nicolas	FW	1929
630	Geza Toldi	FW	1927
631	Sven Jonasson	FW	1927
632	Stefan Dobay	FW	1926
633	Youssef En-Nesyri	FW	2016
634	Mathew Ryan	GK	2009
635	Vincent Aboubakar	FW	2009
636	Bryan Ruiz	MF	2003
637	Boubacar Barry	GK	1999
638	Ariel Ortega	MF	1991
639	David James	GK	1988
640	Ilie Dumitrescu	MF	1987
641	Muller	FW	1984
642	Borislav Mihaylov	GK	1981
643	Bernard Voorhoof	FW	1927
644	Michy Batshuayi	FW	2011
645	Juan Fernando Quintero	MF	2009
646	Daley Blind	DF	2008
647	Juan Cuadrado	MF	2008
648	Marcos Rojo	DF	2008
649	Marouane Fellaini	MF	2006
650	Jean Beausejour	DF	2002
651	Klaas-Jan Huntelaar	FW	2002
652	Simao Sabrosa	MF	1997
653	Vincenzo Iaquinta	FW	1996
654	Benni McCarthy	FW	1995
655	Dennis Rommedahl	MF	1995
656	Richard Kingson	GK	1995
657	Patrick M'Boma	FW	1992
658	Oliver Neuville	FW	1991
659	Dan Petrescu	DF	1986
660	Kjetil Rekdal	MF	1985
661	Marc Degryse	FW	1983
662	Nasko Sirakov	FW	1980
663	Romeo Benetti	MF	1963
664	Jean Vincent	FW	1950
665	Egisto Pandolfini	MF	1945
666	Jose Maria Gimenez	DF	2012
667	Yeltsin Tejeda	MF	2011
668	Christian Eriksen	MF	2010
669	Haris Seferovic	FW	2009
670	Joel Campbell	MF	2009
671	Mathew Leckie	FW	2008
672	Oscar Duarte	DF	2008
673	Seung-Gyu Kim	GK	2008
674	Eric Maxim Choupo-Moting	FW	2007
675	Karim Ansarifard	FW	2007
676	Domagoj Vida	DF	2006
677	Giovani dos Santos	MF	2006
678	Chu-Young Park	FW	2005
679	Yann Sommer	GK	2005
680	Gelson Fernandes	MF	2004
681	Steve Mandanda	GK	2004
682	Maxi Pereira	DF	2002
683	Philippe Senderos	DF	2002
684	Tranquillo Barnetta	MF	2002
685	Daniele De Rossi	MF	2001
686	Yasuhito Endo	MF	1998
687	Dirk Kuyt	FW	1997
688	Gerardo Torrado	MF	1997
689	Roque Santa Cruz	FW	1997
690	Brad Friedel	GK	1995
691	Martin Jorgensen	MF	1994
692	Giovanni van Bronckhorst	MF	1993
693	Oswaldo Sanchez	GK	1993
694	Earnie Stewart	FW	1988
695	Eric Wynalda	FW	1988
696	Jorge Campos	GK	1988
697	Mutiu Adepoju	MF	1988
698	Santiago Canizares	GK	1988
699	Abel Balbo	FW	1987
700	Aron Winter	MF	1986
701	Bogdan Stelea	GK	1986
702	Freddy Rincon	MF	1986
703	Robert Jarni	DF	1986
704	Filip De Wilde	GK	1982
705	Branco	DF	1980
706	Oscar Ruggeri	DF	1980
707	Viktor Chanov	GK	1978
708	Michel de Wolf	DF	1977
709	Hugo Sanchez	FW	1976
710	Edinho Nazareth	DF	1975
711	Waldir Peres	GK	1970
712	Victor Esparrago	MF	1963
713	Dinko Dermendzhiev	FW	1959
714	Tarcisio Burgnich	DF	1958
715	Julio Cesar Cortes	MF	1956
716	Isidoro Diaz	FW	1955
717	Vladimir Beara	GK	1947
718	Emile Veinante	FW	1926
719	Jordan Henderson	MF	2008
720	Yuto Nagatomo	DF	2007
721	Hector Moreno	DF	2006
722	Martin Caceres	DF	2006
723	Mark Milligan	MF	2002
724	Valon Behrami	MF	2002
725	DaMarcus Beasley	MF	1999
726	Denis Caniza	DF	1994
727	Rigobert Song	DF	1993
728	Kasey Keller	GK	1992
729	Jacques Songo'o	GK	1984
730	Giuseppe Bergomi	DF	1979
731	Franky Van Der Elst	MF	1978
732	Wladyslaw Zmuda	DF	1970
733	George Weah	FW	1985
734	Duncan Edwards	MF	1953
735	Neville Southall	GK	1980
736	Jari Litmanen	MF	1987
737	Pierre-Emerick Aubameyang	FW	2008
738	Ludovic Giuly	MF	1994
739	Roy Makaay	FW	1993
740	Oleksiy Mykhaylychenko	MF	1981
741	Joao Resende Alves	MF	1972
742	Dudu Georgescu	FW	1969
743	Louis Pilot	MF	1957
744	Mario Corso	MF	1957
745	Eduard Streltsov	FW	1953
746	Jef Jurion	MF	1953
747	Rogerio Ceni	GK	1990
748	Rafael Gordillo	DF	1975
749	Rodri	MF	2015
750	Jose Nasazzi	DF	1918
751	Ricardo Zamora	GK	1916
752	Cris	DF	1995
753	Robert Pires	FW	1993
754	Ruben Baraja	MF	1993
755	Paulo Sousa	MF	1989
756	Zlatko Zahovic	MF	1989
757	Zvonimir Boban	MF	1985
758	Gianfranco Zola	FW	1984
759	Giuseppe Signori	FW	1984
760	Roberto Mancini	FW	1981
761	Rune Bratseth	DF	1981
762	Dimitris Saravakos	MF	1977
763	Fernando Gomes	FW	1974
764	Ladislav Vizek	FW	1974
765	Dominique Bathenay	MF	1973
766	Uli Stielike	MF	1972
767	Torbjorn Nilsson	FW	1971
768	Marian Masny	FW	1970
769	Jean-Marc Guillou	MF	1966
770	Hans-Jurgen Kreische	FW	1964
771	Ruud Geels	FW	1964
772	Jupp Heynckes	FW	1963
773	Terry Cooper	DF	1962
774	Piet Keizer	MF	1961
775	Nestor Combin	FW	1959
776	El Hadji Diouf	MF	1998
777	Cesare Maldini	DF	1952
778	Igor Belanov	MF	1979
779	Ademir de Menezes	FW	1939
780	Guillermo Stabile	FW	1924
781	Max Morlock	FW	1940
782	Kennet Andersson	FW	1985
783	Darko Pancev	FW	1983
784	Marcelo Salas	FW	1993
785	Anatoliy Byshovets	FW	1963
786	Gyula Zsengeller	FW	1935
787	Silvio Piola	FW	1929
788	Pedro Cea	FW	1922
789	Luis Fabiano	FW	1998
790	Papa Bouba Diop	DF	1996
791	Jose Luis Caminero	MF	1986
792	Roger Piantoni	FW	1950
793	Alcides Ghiggia	MF	1945
794	Gino Colaussi	FW	1930
795	Bert Patenaude	FW	1928
796	Rafael Leao	FW	2017
797	Tiago Mendes	MF	1999
798	Tomas Rosicky	MF	1998
799	Yordan Letchkov	MF	1984
800	John Wark	MF	1975
801	Silviu Lung	GK	1971
802	Joachim Streich	FW	1969
803	Roland Sandberg	FW	1966
804	Florea Dumitrache	FW	1965
805	Archie Gemmill	MF	1964
806	Viktor Ponedelnik	FW	1956
807	Julio Botelho	FW	1950
808	Ivor Allchurch	FW	1947
809	Antoni Ramallets	GK	1942
810	Rustu Recber	GK	1988
811	Zoltan Czibor	MF	1942
812	Raimundo Orsi	FW	1920
